"Building.Name","Property.Type","Property_Size_in_sq_ft","Bedroom","Bathroom","Amount_of_Facilities","Parking_Lot","Land.Title","Tenure.Type","Price_in_RM"
"Kenwingston Platz","Service Residence",1000,4,2,0,2,"Non Bumi Lot","Freehold",340000
"Kenanga (Park View Court)","Apartment",980,3,2,6,1,"Non Bumi Lot","Freehold",250000
"Sri Lavender Apartment","Apartment",1000,3,2,7,1,"Non Bumi Lot","Freehold",230000
"Flat Pandan Indah","Flat",592,3,1,4,1,"Non Bumi Lot","Leasehold",158000
"i-Soho @ i-City","Studio",467,1,1,4,0,"Bumi Lot","Freehold",305000
"D'Piazza Condominium","Condominium",1100,3,2,11,1,"Non Bumi Lot","Freehold",425000
"Pangsapuri Sri Alpinia","Condominium",780,3,2,4,1,"Non Bumi Lot","Freehold",230000
"Vista Lavender","Apartment",852,3,2,11,1,"Non Bumi Lot","Leasehold",200000
"Pangsapuri Damai","Apartment",918,3,2,6,1,"Bumi Lot","Leasehold",275000
"Alam Prima","Apartment",850,3,2,4,2,"Bumi Lot","Freehold",300000
"Sri Aman Block C (Sri Aman Block 1 & 3)","Apartment",660,3,2,3,1,"Non Bumi Lot","Freehold",265000
"QuayWest Residence","Condominium",1246,3,2,9,2,"Non Bumi Lot","Freehold",790000
"Taman Relau Jaya","Flat",550,2,1,2,1,"Non Bumi Lot","Freehold",230000
"Ameera Residence","Condominium",1250,3,2,11,2,"Non Bumi Lot","Freehold",340000
"Intan Apartment (Puchong)","Apartment",1048,3,2,12,1,"Non Bumi Lot","Freehold",230000
"Leader Garden","Condominium",1150,3,2,12,1,"Non Bumi Lot","Freehold",430000
"Seksyen 1 flat block c4","Flat",553,2,1,0,0,"Bumi Lot","Leasehold",155000
"Eco Bloom @ Eco Meadows","Condominium",901,3,2,8,2,"Non Bumi Lot","Freehold",500000
"Paramount Utropolis","Studio",452,1,1,8,1,"Bumi Lot","Freehold",350000
"Grace Residence","Condominium",1016,2,2,8,2,"Non Bumi Lot","Freehold",620000
"Sri Baiduri Apartment","Apartment",900,4,2,4,2,"Bumi Lot","Freehold",310000
"Kasturi Apartment (Bdr Tasik Permaisuri)","Apartment",650,3,2,5,1,"Bumi Lot","Leasehold",240000
"Sierra Residences","Condominium",1182,3,2,9,2,"Non Bumi Lot","Freehold",500000
"Kajang Service Apartment","Apartment",872,3,2,12,2,"Non Bumi Lot","Freehold",341500
"Semenyih Service Residences","Condominium",450,1,2,11,1,"Non Bumi Lot","Freehold",230500
"Molek Regency","Condominium",1005,2,2,12,0,"Non Bumi Lot","Freehold",515000
"Parc Regency Serviced Apartment","Service Residence",430,1,1,8,1,"Non Bumi Lot","Freehold",200000
"Prima Regency Service Apartment","Service Residence",1050,3,2,0,0,"Non Bumi Lot","Freehold",298000
"D'Inspire Residence @ Nusa Bestari","Apartment",986,3,2,13,2,"Non Bumi Lot","Freehold",418000
"Plaza Indah","Apartment",950,3,2,3,1,"Non Bumi Lot","Freehold",220000
"Koi Prima","Condominium",1055,3,2,12,2,"Non Bumi Lot","Leasehold",320000
"Savanna Executive Suites","Service Residence",1017,3,2,12,2,"Non Bumi Lot","Freehold",280000
"R&F Princess Cove","Service Residence",1387,4,3,11,2,"Non Bumi Lot","Freehold",1150000
"The Heights Residence @ Taman Muzaffar Heights","Condominium",720,3,2,7,1,"Non Bumi Lot","Leasehold",320000
"The Riyang @ Happy Garden","Condominium",1474,4,4,9,2,"Non Bumi Lot","Freehold",880000
"TT3 Soho","Service Residence",788,2,1,0,0,"Non Bumi Lot","Leasehold",550000
"Taman Bukit Cheras","Apartment",517,2,1,1,0,"Non Bumi Lot","Freehold",180000
"Rumah Pangsa Impian (Saujana Putra)","Flat",650,3,2,0,0,"Non Bumi Lot","Leasehold",200000
"Alam Budiman (Sri Budiman)","Apartment",850,3,2,3,2,"Non Bumi Lot","Freehold",300000
"-","Apartment",800,3,2,0,2,"Non Bumi Lot","Leasehold",438000
"Tribeca","Condominium",1432,3,2,10,2,"Non Bumi Lot","Leasehold",700000
"Perumahan Awam Sri Perak","Flat",527,2,1,2,0,"Bumi Lot","Leasehold",195000
"SkyVilla Condominium (MJC)","Condominium",1108,3,2,9,1,"Non Bumi Lot","Leasehold",493000
"Pangsapuri Resak","Apartment",860,3,2,4,0,"Bumi Lot","Leasehold",195000
"Horizon Residence Luxury Apartment","Apartment",1011,3,2,12,0,"Non Bumi Lot","Freehold",420000
"Cyberia SmartHomes","Condominium",925,3,2,9,1,"Non Bumi Lot","Freehold",255000
"Pangsapuri Angsana","Apartment",753,3,2,5,0,"Bumi Lot","Freehold",240000
"East Lake Residence","Condominium",1093,3,2,8,0,"Bumi Lot","Leasehold",350000
"Raffel Tower","Condominium",1400,3,3,14,2,"Non Bumi Lot","Freehold",978000
"Karisma @ Eco Majestic","Apartment",800,3,2,8,2,"Non Bumi Lot","Freehold",260000
"Melana Apartment","Apartment",953,3,2,5,0,"Non Bumi Lot","Freehold",263000
"Taman Pulai Utama @ Shop Apartment","Apartment",750,3,2,1,0,"Non Bumi Lot","Freehold",168000
"Flexis @ One South","Others",1152,3,2,10,0,"Non Bumi Lot","Leasehold",530000
"Sky Condominium @ Bandar Puchong Jaya","Condominium",1334,3,2,12,2,"Non Bumi Lot","Freehold",950000
"The Elements","Service Residence",705,1,1,11,1,"Non Bumi Lot","Freehold",375000
"Sun Moon City","Apartment",689,3,2,4,0,"Non Bumi Lot","Freehold",200000
"Village Grove Condominium","Condominium",1700,3,2,0,1,"Non Bumi Lot","Leasehold",580000
"Persiaran Tanjung Apartment","Apartment",958,3,2,6,1,"Bumi Lot","Leasehold",228000
"228 Selayang Condominium","Condominium",965,3,2,4,0,"Bumi Lot","Leasehold",368000
"Yarra Park","Apartment",1120,3,2,5,1,"Non Bumi Lot","Leasehold",530000
"Puteri Palma Condominium","Condominium",1654,4,3,11,2,"Non Bumi Lot","Freehold",670000
"Sri Lavender Apartment","Apartment",1000,3,2,7,0,"Non Bumi Lot","Freehold",295000
"Azuria","Condominium",700,3,2,6,1,"Non Bumi Lot","Freehold",320000
"Lestari Perdana Apartment","Others",1400,3,2,3,2,"Non Bumi Lot","Leasehold",410000
"Palma Apartment (Bandar Country Homes)","Apartment",650,3,2,0,0,"Non Bumi Lot","Freehold",100000
"Sri Pangkor (Sentul)","Flat",560,2,1,3,3,"Bumi Lot","Leasehold",148000
"Damansara PJ New Condo","Service Residence",900,3,2,14,2,"Non Bumi Lot","Leasehold",380500
"The Clovers","Condominium",1598,3,2,7,2,"Non Bumi Lot","Freehold",620000
"Damansara PJ New Condo","Service Residence",900,3,2,14,2,"Non Bumi Lot","Leasehold",380000
"Damansara PJ New Condo","Service Residence",900,3,2,14,2,"Non Bumi Lot","Leasehold",380300
"Pangsapuri Saujana Permai 2","Apartment",1001,3,2,5,2,"Non Bumi Lot","Freehold",280000
"Indah Court Apartment (Bukit Indah)","Apartment",850,3,2,0,0,"Non Bumi Lot","Freehold",300000
"Nusa Perdana Service Apartment","Apartment",1180,4,2,8,0,"Non Bumi Lot","Freehold",298000
"Idaman Residence @ Nusa Idaman","Apartment",1385,4,2,5,0,"Non Bumi Lot","Freehold",469000
"Pangsapuri Lotus (Teratai)","Apartment",800,3,2,1,1,"Non Bumi Lot","Freehold",270000
"Langat Jaya","Condominium",983,3,2,8,1,"Bumi Lot","Freehold",320000
"Puteri Palma Condominium","Condominium",1515,3,3,11,1,"Non Bumi Lot","Freehold",550000
"Village Grove Condominium","Condominium",1711,3,3,0,1,"Non Bumi Lot","Leasehold",470000
"Flora Damansara","Condominium",850,3,2,2,1,"Non Bumi Lot","Leasehold",245000
"Village Grove Condominium","Condominium",1667,3,3,0,1,"Non Bumi Lot","Leasehold",580000
